partner_id,vorname,nachname,geschlecht,land,sprache,geburtsjahr,typ
PART-00484,Heinz,Hänni,M,CH,de,1956,Person
PART-00485,Lukas,Zander,M,DE,de,1995,Person
PART-00486,Dragana,Marković,W,DE,de,2003,Person
PART-00487,Werner,Hänni,M,CH,de,1967,Person
PART-00488,Dominik,Peter,M,CH,de,1973,Person
PART-00489,Svetlana,Horvat,W,DE,de,1971,Person
PART-00490,Tobias,Schneider,M,CH,de,1953,Person
PART-00491,Julia,Maier,W,DE,de,2004,Person
PART-00492,Christian,Berisha,M,CH,de,1997,Person
PART-00493,Claudia,Wolf,W,CH,de,1989,Person
PART-00494,Volker,Krämer,M,DE,de,1965,Person
PART-00495,Sandro,Meier,M,CH,de,1962,Person
PART-00496,Karl,Krüger,M,DE,de,2000,Person
PART-00497,Stefanie,Weber,W,DE,de,1998,Person
PART-00498,Esther,Haas,W,CH,de,1960,Person
PART-00499,Moritz,Wolff,M,DE,de,1994,Person
